4389,Endocrino,ambulatorio endocrino, ambulatorio c
4389,Urologi, nefrologi, reumatologi, ambulatorio B
4207,gastroenterologia,allergologia, ambulatorio A
4345,sonno, pneumologia, ambulatorio SIDS, SIDS
4277,gentilino
4392,ambulatorio chirurghi 1
4226,ambulatorio chirurghi 2
2602,audio1
2203,audio2
2397,audio3
0332278591,audiovestibologi
2545,ambulanze1
2546,ambulanza2
2620,ambulanze3
0257995133,laboratorio Buzzi
025799448,laboratorio buzzi 2
0257995419,segreteria laboratorio buzzi
61649,chirurgia reparto
61757,chirurgia sala
61646,anestesisti,rianimatori,cicalino anestesista
0266101029,CAV
4459,ambulatorio cardio
61422,cicalino cardiologia,cardiologia
4208,segreteria cardiologia
4237,DH studio medici, DH
4331,ambulatorio DH, DH, ematologia ped
4312,DH, infermiere DH
4329,DH,DH marinoni, marinoni
2308,DEXA1
2772,DEXA2
2244,dermatologia
61513,emostasi, ambulatorio emostasi
4469,sala eco1
4363,sala eco2
4326,EEG,tecnici EEG
4415,FKT, fisioterapisti
61510,fisiatra,fisiatria
61973,ginecologia, cicalino ginecologia
3007,genetica
0332393060,genetica2
4231,giovanna,segreteria pediatria
2435,laboratorio,microbiologia
3003,laboratorio microbiologia
3004,laboratorio chimica-fisica
3002,emocromo
3216,emocromo,laboratorio
3000,laboratorio sierologie
0332270635,laboratorio tossicologia
3312301277,laboratorio ?
0315859420,ambulatorio maxillo-facciale como
3709,medicina nucleare
4410,NPI,Neuropsichiatria1
4411,NPI,Neuropsichiatria2
4412,NPI,Neuropsichiatria3
4250,infermiere NPI, ring NPI
4457,neonatologia ring
61835,cicalino neonatologo, neonatologo
4271,nido
4417,sala parto,parto
4420,TIN,terapia intensiva neonatale
4424,ambulatorio neonatologia
61836,NCH,neurochirurgo
61611,neuroradiologo,neuroradiologia
4415,ambulatorio quadrelli
61553,ORL,otorinolaringoiatra
2185,ambulatorio ortopedia1
4359,ambulatorio ortopedia2
4499,oculistica ambulatorio1
4498,oculistica ambulatorio2
4240,ostetricia
61319,cicalino ortopedico
4611,odontologia velate1,dentista1
4644,odontologia velate2,dentista2
4643,odontologia velate3,denstista3
61606,pediatria,cicalino pediatria
4390, ring pediatria1
4396,ring pediatria2
4247,sala medici pediatria,studio medici pediatria
4241,sala medici pediatria,studio medici pediatria
4246,cucina pediatria
4229,caposala pediatria
0332299219,fax ponte
4400,triage ponte
4365,sala medici psp1
4419,sala medici psp2
61424,cicalino psp pediatria
61598,cicalino tecnico radiologia,tecnico,Rx
61619,radiologo,cicalino radiologo
4257,segreteria radiologia
4363,sala radiologia1
4470,sala radiologia2
4467,sala radiologia3
4228,sala radiologia3
2356,RMN encefalo, neurologia RMN
3484,RMN encefalo, neurologia RMN2
2353,RMN
3487,RMN2
3705,de palma nucleare
4413,TIP,terapia intensiva pediatrica
2420,trasfusionale,emobanca,trasfusioni
4235,TC ponte, TAC ponte
3357104842,tecnico riparatore, tuttofare
3839,vulnologhe, vulvologia,lesioni difficili
